,keyword,count,top_count,bottom_count,top_relative_frequency,bottom_relative_frequency
194,training,10,4.0,1.0,0.4,0.1
195,bar,10,1.0,2.0,0.1,0.2
196,curse,10,5.0,0.0,0.5,0.0
197,competition,10,5.0,2.0,0.5,0.2
198,swimming pool,9,3.0,3.0,0.3333333333333333,0.3333333333333333
199,shooting,9,1.0,1.0,0.1111111111111111,0.1111111111111111
200,brutality,9,0.0,3.0,0.0,0.3333333333333333
201,technology,9,4.0,1.0,0.4444444444444444,0.1111111111111111
202,dysfunctional family,9,0.0,1.0,0.0,0.1111111111111111
203,period drama,9,6.0,1.0,0.6666666666666666,0.1111111111111111
204,road movie,9,2.0,4.0,0.2222222222222222,0.4444444444444444
205,princess,9,5.0,1.0,0.5555555555555556,0.1111111111111111
206,fight,9,3.0,1.0,0.3333333333333333,0.1111111111111111
207,father son relationship,9,1.0,1.0,0.1111111111111111,0.1111111111111111
208,based on video game,9,8.0,0.0,0.8888888888888888,0.0
209,terror,9,1.0,1.0,0.1111111111111111,0.1111111111111111
210,explosion,9,2.0,4.0,0.2222222222222222,0.4444444444444444
211,prince,9,6.0,1.0,0.6666666666666666,0.1111111111111111
212,hollywood,9,2.0,2.0,0.2222222222222222,0.2222222222222222
213,football (soccer),9,1.0,6.0,0.1111111111111111,0.6666666666666666
214,adoption,9,3.0,0.0,0.3333333333333333,0.0
215,alcoholism,9,3.0,0.0,0.3333333333333333,0.0
216,religion,9,2.0,1.0,0.2222222222222222,0.1111111111111111
217,faith,9,2.0,1.0,0.2222222222222222,0.1111111111111111
218,india,9,4.0,0.0,0.4444444444444444,0.0
219,church,9,2.0,2.0,0.2222222222222222,0.2222222222222222
220,bank robbery,9,2.0,0.0,0.2222222222222222,0.0
221,europe,9,6.0,1.0,0.6666666666666666,0.1111111111111111
222,dragon,9,7.0,1.0,0.7777777777777778,0.1111111111111111
223,mother daughter relationship,9,0.0,1.0,0.0,0.1111111111111111
224,werewolf,9,2.0,2.0,0.2222222222222222,0.2222222222222222
225,california,9,1.0,3.0,0.1111111111111111,0.3333333333333333
226,game,9,4.0,1.0,0.4444444444444444,0.1111111111111111
227,fire,9,3.0,2.0,0.3333333333333333,0.2222222222222222
228,travel,9,5.0,2.0,0.5555555555555556,0.2222222222222222
229,bullying,9,4.0,0.0,0.4444444444444444,0.0
230,"boston, massachusetts",9,3.0,2.0,0.3333333333333333,0.2222222222222222
231,musician,9,2.0,2.0,0.2222222222222222,0.2222222222222222
232,u.s. president,9,3.0,0.0,0.3333333333333333,0.0
233,cat,9,2.0,1.0,0.2222222222222222,0.1111111111111111
234,ship,9,4.0,2.0,0.4444444444444444,0.2222222222222222
235,mutant,9,8.0,1.0,0.8888888888888888,0.1111111111111111
236,funeral,8,0.0,3.0,0.0,0.375
